ID,Black,White,Result
4713,Jordan A.,Hynd J.,0
4714,Hynd J.,Jordan A.,0
4715,Hynd J.,Morrall H.,1
4716,Scott W.,Holmes W.,1
4717,Morrall H.,Hynd J.,2
4718,Holmes W.,Scott W.,2
4719,Smith G.,McVean N.M.,1
4720,McVean N.M.,Smith G.,0
4721,Potter C.,Benstead W.D.,2
4722,Gamsby J.W.,Slade F.W.,0
4723,Broadbent W.T.,Milne J.A.,1
4724,Craig F.G.,Gamsby J.W.,2
4725,Brodie D.A.,Hilliker F.E.,0
4726,Butterfield G.,Gardiner J.,2
4727,Hilliker F.E.,McIlurich W.,0
4728,Boreham J.A.,Hilliker F.E.,0
4729,McIlurich W.,Hilliker F.E.,2
4730,McIlurich W.,Hilliker F.E.,2
4731,Hilliker F.E.,Langstone F.W.,0
4732,Hanson C.,Hilliker F.E.,0
4733,Hilliker F.E.,Langstone F.W.,0
4734,Hilliker F.E.,Hansson C.,1
4735,Hilliker F.E.,McKinna W.,1
4736,Berg F.E.,Smith M.E.,0
4737,Smith M.E.,Berg F.E.,0
4738,Berg F.E.,Smith M.E.,0
4739,Smith M.E.,Berg F.E.,1
4740,Goldsboro T.,Gardner W.,2
4741,Howe J.,Slocum G.H.,0
4742,Hewitt E.J.,Jordan A.,2
4743,Jordan A.,Hewitt E.J.,1
4744,Ward R.T.,Milne J.A.,2
4745,Milne J.A.,Ward R.T.,0
4746,Fellows J.,Smith F.F.,0
4747,Smith F.F.,Fellows J.,1
4748,Morrall H.,Alexander J.,2
4749,Alexander J.,Morrall H.,0
4750,Hynd A.,Dufficy J.,0
4751,Dufficy J.,Hynd A.,0
4752,Jordan A.,Milne J.A.,0
4753,Milne J.A.,Jordan A.,2
4754,Hynd A.,Hewitt E.J.,1
4755,Hewitt E.J.,Hynd A.,2
4756,Dufficy J.,Morrall H.,2
4757,Morrall H.,Dufficy J.,0
4758,Ward R.T.,Fellows J.,2
4759,Fellows J.,Ward R.T.,0
4760,Alexander J.,Smith F.F.,0
4761,Smith F.F.,Alexander J.,0
4762,Fellows J.,Jordan A.,2
4763,Jordan A.,Fellows J.,1
4764,Morrall H.,Hynd A.,0
4765,Hynd A.,Morrall H.,2
4766,Ward R.T.,Alexander J.,0
4767,Alexander J.,Ward R.T.,0
4768,Smith F.F.,Dufficy J.,0
4769,Dufficy J.,Smith F.F.,1
4770,Hewitt E.J.,Milne J.A.,2
4771,Milne J.A.,Hewitt E.J.,0
4772,Jordan A.,Alexander J.,0
4773,Alexander J.,Jordan A.,0
4774,Fellows J.,Hewitt E.J.,0
4775,Hewitt E.J.,Fellows J.,1
4776,Smith F.F.,Morrall H.,0
4777,Morrall H.,Smith F.F.,1
4778,Milne J.A.,Hynd A.,2
4779,Hynd A.,Milne J.A.,1
4780,Ward R.T.,Dufficy J.,1
4781,Dufficy J.,Ward R.T.,0
4782,Dufficy J.,Jordan A.,2
4783,Jordan A.,Dufficy J.,1
4784,Hewitt E.J.,Alexander J.,0
4785,Alexander J.,Hewitt E.J.,1
4786,Morrall H.,Ward R.T.,2
4787,Ward R.T.,Morrall H.,1
4788,Fellows J.,Milne J.A.,0
4789,Milne J.A.,Fellows J.,1
4790,Smith F.F.,Hynd A.,2
4791,Hynd A.,Smith F.F.,0
4792,Jordan A.,Morrall H.,1
4793,Hewitt E.J.,Dufficy J.,0
4794,Dufficy J.,Hewitt E.J.,1
4795,Alexander J.,Milne J.A.,0
4796,Milne J.A.,Alexander J.,0
4797,Hynd A.,Fellows J.,1
4798,Fellows J.,Hynd A.,2
4799,Smith F.F.,Ward R.T.,2
4800,Ward R.T.,Smith F.F.,0
4801,Jordan A.,Smith F.F.,1
4802,Smith F.F.,Jordan A.,2
4803,Morrall H.,Hewitt E.J.,1
4804,Hewitt E.J.,Morrall H.,2
4805,Milne J.A.,Dufficy J.,0
4806,Dufficy J.,Milne J.A.,2
4807,Ward R.T.,Hynd A.,1
4808,Alexander J.,Fellows J.,0
4809,Fellows J.,Alexander J.,2
4810,Jordan A.,Ward R.T.,0
4811,Ward R.T.,Jordan A.,0
4812,Morall H.,Milne J.A.,1
4813,Milne J.A.,Morrall H.,2
4814,Dufficy J.,Fellows J.,0
4815,Hynd A.,Alexander J.,2
4816,Alexander J.,Hynd A.,0
4817,Smith F.F.,Hewitt E.J.,1
4818,Hewitt E.J.,Smith F.F.,2
4819,Jordan A.,Hynd A.,0
4820,Hynd A.,Jordan A.,0
4821,Dufficy J.,Alexander J.,2
4822,Smith F.F.,Milne J.A.,1
4823,Milne J.A.,Smith F.F.,0
4824,Morrall H.,Fellows J.,1
4825,Fellows J.,Morrall H.,0
4826,Hewitt E.J.,Ward R.T.,2
4827,Ward R.T.,Hewitt E.J.,1
4828,Crabtree J.,Jacques D.,0
4829,Gamsby J.W.,Slade F.W.,0
4830,Clark C.C.,Goldsmith I.J.,0
4831,Douglas W.J.,Ballantine J.,2
4832,Ballantine J.,Douglas W.J.,2
4833,Douglas W.J.,Ballantine J.,0
4834,Ballantine J.,Douglas W.J.,0
4835,Douglas W.J.,Ballantine J.,0
4836,Ballantine J.,Douglas J.W.,2
4837,McVean N.,Nisbet W.,1
4838,Nisbet W.,McVean N.,2
4839,McVean N.,Nisbet W.,1
4840,Battersby A.,Scott A.B.,0
4841,Scott A.B.,Battersby A.,1
4842,Battersby A.,Scott A.B.,0
4843,Scott A.B.,Battersby A.,0
4844,Battersby A.,Scott A.B.,1
4845,Scott A.B.,Battersby A.,1
4846,McEwan T.,Scott A.B.,0
4847,Scott A.B.,McEwan T.,1
4848,McEwan T.,Scott A.B.,0
4849,Scott A.B.,McEwan T.,0
4850,McEwan T.,Scott A.B.,0
4851,Scott A.B.,McEwan T.,0
4852,Scott A.B.,McEwan T.,2
4853,McEwan T.,Scott A.B.,2
4854,Scott A.B.,McEwan T.,0
4855,McEwan T.,Scott A.B.,0
4856,McEwan T.,Scott A.B.,2
4857,Scott A.B.,McEwan T.,2
4858,Scott A.B.,McEwan T.,0
4859,McEwan T.,Scott A.B.,0
4860,Burns J.,Battersby A.,2
4861,Battersby A.,Burns J.,1
4862,Burns J.,Battersby A.,1
4863,Battersby A.,Burns J.,1
4864,Smith G.,McEwan T.,2
4865,McEwan T.,Smith G.,0
4866,McEwan T.,Battersby A.,1
4867,Smith G.,Battersby A.,1
4868,McEwan T.,Smith G.,0
4869,Smith G.,McEwan T.,2
4870,Smith G.,McEwan T.,0
4871,McEwan T.,Smith G.,1
4872,Battersby A.,Douglas J.W.,1
4873,Douglas J.W.,Battersby A.,2
4874,Battersby A.,Douglas J.W.,1
4875,Burns J.,Moore J.,0
4876,Moore J.,Burns J.,2
4877,Burns J.,Moore J.,0
4878,MacVean N.,Scott A.B.,0
4879,Scott A.B.,MacVean N.,0
4880,Moore J.,Burns J.,0
4881,MacVean N.,Scott A.B.,0
4882,Scott A.B.,MacVean N.,0
4883,MacVean N.,Scott A.B.,2
4884,Scott A.B.,MacVean N.,0
4885,Archer J.,Battersby A.,0
4886,Battersby A.,Archer J.,0
4887,Battersby A.,Archer J.,1
4888,McDowall J.,Scott A.B.,1
4889,Scott A.B.,McDowall J.,1
4890,McDowall J.,Scott A.B.,0
4891,Scott A.B.,McDowall J.,1
4892,McDowall J.,Scott A.B.,2
4893,Scott A.B.,McDowall J.,0
4894,Duncan R.,Burns J.,2
4895,Burns J.,Duncan R.,1
4896,Douglas W.J.,Blair D.,0
4897,Blair D.,Douglas W.J.,0
4898,Douglas W.J.,Blair D.,1
4899,Douglas W.J.,Blair D.,1
4900,Blair D.,Douglas W.J.,0
4901,Moore J.,Crawford J.,1
4902,Crawford J.,Moore J.,2
4903,Moore J.,Crawford J.,0
4904,Crawford J.,Moore J.,2
4905,O'Lone J.,Smith G.,2
4906,Smith G.,O'Lone J.,0
4907,O'Lone J.,Smith G.,2
4908,McVean N.,Gresham G.,0
4909,Gresham G.,McVean N.,2
4910,McVean N.,Gresham G.,1
4911,Gresham G.,McVean N.,0
4912,McEwan T.,Sweeney P.,0
4913,McEwan T.,Sweeney P.,0
4914,Sweeney P.,McEwan T.,0
4915,Blair D.,McRae A.,1
4916,McRae A.,Blair D.,1
4917,Scott A.B.,Cunningham G.,1
4918,Cunningham G.,Scott A.B.,0
4919,Scott A.B.,Cunningham G.,1
4920,Cunningham G.,Scott A.B.,0
4921,Duncan R.,Cunningham J.L.,0
4922,Cunningham J.L.,Duncan R.,2
4923,Cunningham J.L.,Duncan R.,2
4924,Duncan R.,Cunningham J.L.,1
4925,Battersby A.,Clarkson A.,1
4926,Clarkson A.,Battersby A.,0
4927,Battersby A.,Clarkson A.,0
4928,Smith W.,McEwan T.,2
4929,McEwan T.,Smith W.,1
4930,Smith W.,McEwan T.,2
4931,Smith G.,Crawford W.R.,1
4932,Crawford W.R.,Smith G.,2
4933,Smith G.,Crawford W.R.,1
4934,Crawford W.R.,Smith G.,2
4935,Moore J.,Johnston C.,1
4936,Johnston C.,Moore J.,2
4937,Moore J.,Johnston C.,1
4938,Brown R.,Burns J.,2
4939,Burns J.,Brown R.,1
4940,Brown R.,Burns J.,2
4941,Burns J.,Brown R.,1
4942,Jordan R.,Jordan A.,0
4943,Jordan R.,Jordan A.,0
4944,Jordan A.,Jordan R.,0
4945,Morrall H.,Brown J.C.,0
4946,Brown J.C.,Morrall H.,0
4947,Morrall H.,Brown J.C.,0
4948,Brown J.C.,Morrall H.,1
4949,Kear J.A.,Ferrie J.,0
4950,Ferrie J.,Kear J.A.,0
4951,Kear J.A.,Ferrie J.,0
4952,Ferrie J.,Kear J.A.,0
4953,Bryden W.,Jewitt G.,0
4954,Jewitt G.,Bryden W.,0
4955,Bryden W.,Jewitt G.,0
4956,Jewitt G.,Bryden W.,0
4957,Milne J.A.,Moir J.,2
4958,Moir J.,Milne J.A.,1
4959,Milne J.A.,Moir J.,0
4960,Moir J.,Milne J.A.,1
4961,Gardner W.,Bonnar G.M.,0
4962,Bonnar G.M.,Gardner W.,0
4963,Gardner W.,Bonnar G.M.,0
4964,Bonnar G.M.,Gardner W.,0
4965,Dunne F.,Scott A.B.,1
4966,Scott A.B.,Dunne F.,2
4967,Dunne F.,Scott A.B.,2
4968,Holmes R.,Scott W.,0
4969,Scott W.,Holmes R.,0
4970,Holmes R.,Scott W.,0
4971,Scott W.,Holmes R.,2
4972,Jackson A.,Ward R.T.,0
4973,Ward R.T.,Jackson A.,2
4974,Jackson A.,Ward R.T.,2
4975,Brown B.,Battersby A.,0
4976,Battersby A.,Brown B.,0
4977,Brown B.,Battersby A.,1
4978,Battersby A.,Brown B.,0
4979,Goldsboro T.,Smith G.,0
4980,Smith G.,Goldsboro T.,1
4981,Goldsboro T.,Smith G.,0
4982,Smith G.,Goldsboro T.,1
4983,Jordan R.,Scott W.,1
4984,Scott W.,Jordan R.,0
4985,Jordan R.,Scott W.,0
4986,Scott W.,Jordan R.,2
4987,Ward R.T.,Ferrie J.,0
4988,Ferrie J.,Ward R.T.,1
4989,Ward R.T.,Ferrie J.,2
4990,Ferrie J.,Ward R.T.,1
4991,Kear J.A.,Jackson A.,0
4992,Jackson A.,Kear J.A.,2
4993,Kear J.A.,Jackson A.,0
4994,Jackson A.,Kear J.A.,0
4995,Scott A.B.,Milne J.A.,1
4996,Milne J.A.,Scott A.B.,1
4997,Scott A.B.,Milne J.A.,0
4998,Milne J.A.,Scott A.B.,2
4999,Moir J.,Brown B.,0
5000,Brown B.,Moir J.,0
5001,Moir J.,Brown B.,2
5002,Brown B.,Moir J.,0
5003,Bryden W.,Gardner W.,0
5004,Gardner W.,Bryden W.,0
5005,Gardner W.,Bryden W.,0
5006,Battersby A.,Jewitt G.,0
5007,Jewitt G.,Battersby A.,0
5008,Battersby A.,Jewitt G.,2
5009,Jewitt G.,Battersby A.,2
5010,Bonnar G.M.,Dunne F.,0
5011,Dunne F.,Bonnar G.M.,2
5012,Bonnar G.M.,Dunne F.,1
5013,Dunne F.,Bonnar G.M.,2
5014,Goldsboro T.,Holmes R.,0
5015,Holmes R.,Goldsboro T.,1
5016,Goldsboro T.,Holmes R.,2
5017,Holmes R.,Goldsboro T.,0
5018,Smith G.,Morrall H.,1
5019,Morrall H.,Smith G.,1
5020,Smith G.,Morrall H.,0
5021,Jordan A.,Brown J.C.,0
5022,Brown J.C.,Jordan A.,0
5023,Jordan A.,Brown J.C.,0
5024,Brown J.C.,Jordan A.,0
5025,Jewitt G.,Jordan R.,2
5026,Jordan R.,Jewitt G.,0
5027,Jewitt G.,Jordan R.,2
5028,Jordan R.,Jewitt G.,0
5029,Milne J.A.,Ferrie J.,2
5030,Ferrie J.,Milne J.A.,0
5031,Milne J.A.,Ferrie J.,2
5032,Ferrie J.,Milne J.A.,0
5033,Jackson A.,Dunne F.,0
5034,Dunne F.,Jackson A.,0
5035,Jackson A.,Dunne F.,1
5036,Dunne F.,Jackson A.,0
5037,Gardner W.,Scott A.B.,2
5038,Scott A.B.,Gardner W.,0
5039,Gardner W.,Scott A.B.,0
5040,Scott A.B.,Gardner W.,0
5041,Morrall H.,Moir J.,2
5042,Moir J.,Morrall H.,0
5043,Morrall H.,Moir J.,1
5044,Moir J.,Morrall H.,2
5045,Jordan A.,Bryden W.,0
5046,Bryden W.,Jordan A.,2
5047,Jordan A.,Bryden W.,0
5048,Bryden W.,Jordan A.,0
5049,Goldsboro T.,Battersby A.,2
5050,Battersby A.,Goldsboro T.,1
5051,Goldsboro T.,Battersby A.,0
5052,Kear J.A.,Bonnar G.M.,0
5053,Bonnar G.M.,Kear J.A.,0
5054,Kear J.A.,Bonnar G.M.,1
5055,Bonnar G.M.,Kear J.A.,1
5056,Ward R.T.,Holmes R.,2
5057,Holmes R.,Ward R.T.,0
5058,Ward R.T.,Holmes R.,2
5059,Holmes R.,Ward R.T.,1
5060,Smith G.,Scott W.,0
5061,Scott W.,Smith G.,0
5062,Smith G.,Scott W.,0
5063,Scott W.,Smith G.,0
5064,Brown J.C.,Brown B.,1
5065,Brown B.,Brown J.C.,0
5066,Brown J.C.,Brown B.,1
5067,Brown B.,Brown J.C.,0
5068,Scott A.B.,Dunne F.,1
5069,Banks N.W.,Henderson H.,0
5070,Henderson H.,Banks N.W.,0
5071,Banks N.W.,Henderson H.,1
5072,Henderson H.,Banks N.W.,1
5073,Banks N.W.,Henderson H.,1
5074,Henderson H.,Banks N.W.,0
5075,Banks N.W.,Henderson H.,0
5076,Henderson H.,Banks N.W.,0
5077,Banks N.W.,Henderson H.,0
5078,Henderson H.,Banks N.W.,0
5079,Banks N.W.,Henderson H.,0
5080,Henderson H.,Banks N.W.,0
5081,Banks N.W.,Henderson H.,0
5082,Henderson H.,Banks N.W.,0
5083,Banks N.W.,Henderson H.,0
5084,Henderson H.,Banks N.W.,0
5085,Banks N.W.,Henderson H.,0
5086,Henderson H.,Banks N.W.,0
5087,Banks N.W.,Henderson H.,0
5088,Henderson H.,Banks N.W.,0
5089,Banks N.W.,Henderson H.,0
5090,Henderson H.,Banks N.W.,0
5091,Banks N.W.,Henderson H.,0
5092,Henderson H.,Banks N.W.,0
5093,Banks N.W.,Henderson H.,0
5094,Henderson H.,Banks N.W.,0
5095,Banks N.W.,Henderson H.,0
5096,Henderson H.,Banks N.W.,0
5097,Banks N.W.,Henderson H.,0
5098,Henderson H.,Banks N.W.,0
5099,Banks N.W.,Henderson H.,1
5100,Henderson H.,Banks N.W.,0
5101,Banks N.W.,Henderson H.,2
5102,Henderson H.,Banks N.W.,0
5103,Banks N.W.,Henderson H.,0
5104,Henderson H.,Banks N.W.,0
5105,Banks N.W.,Henderson H.,0
5106,Henderson H.,Banks N.W.,0
5107,Banks N.W.,Henderson H.,0
5108,Henderson H.,Banks N.W.,0
5109,Banks N.W.,Henderson H.,1
5110,Henderson H.,Banks N.W.,0
5111,Banks N.W.,Henderson H.,0
5112,Henderson H.,Banks N.W.,0
5113,Banks N.W.,Henderson H.,2
5114,Henderson H.,Banks N.W.,0
5115,Banks N.W.,Henderson H.,0
5116,Henderson H.,Banks N.W.,0
5117,Banks N.W.,Henderson H.,0
5118,Henderson H.,Banks N.W.,0
5119,Hilliker F.E.,Egan H.,0
5120,Brodie D.A.,Hilliker F.E.,0
5121,Banks N.W.,Jordan A.,0
5122,Jordan A.,Banks N.W.,1
5123,Banks N.W.,Jordan A.,0
5124,Jordan A.,Banks N.W.,0
5125,Banks N.W.,Jordan A.,2
5126,Jordan A.,Banks N.W.,0
5127,Banks N.W.,Jordan A.,0
5128,Jordan A.,Banks N.W.,0
5129,Banks N.W.,Jordan A.,0
5130,Jordan A.,Banks N.W.,0
5131,Banks N.W.,Jordan A.,0
5132,Jordan A.,Banks N.W.,0
5133,Banks N.W.,Jordan A.,0
5134,Jordan A.,Banks N.W.,1
5135,Banks N.W.,Jordan A.,1
5136,Jordan A.,Banks N.W.,0
5137,Banks N.W.,Jordan A.,0
5138,Jordan A.,Banks N.W.,1
5139,Jordan A.,Drouillard J.A.,1
5140,Drouillard J.A.,Jordan A.,0
5141,Jordan A.,Drouillard J.A.,1
5142,Drouillard J.A.,Jordan A.,0
5143,Jordan A.,Drouillard J.A.,0
5144,Drouillard J.A.,Jordan A.,2
5145,Jordan A.,Drouillard J.A.,0
5146,Drouillard J.A.,Jordan A.,2
5147,Jordan A.,Drouillard J.A.,1
5148,Drouillard J.A.,Jordan A.,0
5149,Jordan A.,Drouillard J.A.,0
5150,Drouillard J.A.,Jordan A.,0
5151,Jordan A.,Drouillard J.A.,1
5152,Drouillard J.A.,Jordan A.,0
5153,Jordan A.,Drouillard J.A.,1
5154,Drouillard J.A.,Jordan A.,0
5155,Jordan A.,Drouillard J.A.,0
5156,Drouillard J.A.,Jordan A.,0
5157,Ferrie J.,Scott A.B.,0
5158,Jordan A.,Lewis W.,1
5159,Hilliker F.E.,Boreham J.A.,1
5160,Hilliker F.E.,Calderwood D.,0
5161,Hill W.G.,Jordan A.,2
5162,Jennings G.S.,Reynolds H.B.,2
5163,Singrey H.L.,Henderson H.,2
5164,D'Orio J.,Singrey H.L.,1
5165,Henderson H.,Valentine A.W.,1
5166,Valentine A.W.,Henderson H.,0
5167,Jennings G.S.,D'Orio J.,0
5168,Singrey H.L.,Reynolds H.B.,2
5169,March B.,Henderson H.,2
5170,Henderson H.,Reynolds H.B.,0
5171,Reynolds H.B.,Henderson H.,0
5172,Bell S.S.,Henderson H.,2
5173,D'Orio J.,Reynolds H.B.,2
5174,Reynolds H.B.,D'Orio J.,1
5175,Valentine A.W.,Jennings G.S.,0
5176,March B.,Farmer F.G.,0
5177,Henderson H.,Backus B.L.,1
5178,Farmer F.G.,Reynolds H.B.,2
5179,D'Orio J.,March B.,1
5180,Bell S.S.,March B.,0
5181,Singrey H.L.,Backus B.L.,2
5182,March B.,Reynolds H.B.,2
5183,Whalen P.,Klinka A.J.,0
5184,Klinka A.J.,Whalen P.,1
5185,Waterhouse E.C.,Wood R.B.,1
5186,Wood R.B.,Waterhouse E.C.,1
5187,Wendemuth F.R.,Logan A.N.,0
5188,Waterhouse E.C.,Garwood G.,0
5189,Wendemuth F.R.,Banks N.W.,2
5190,Wendemuth F.R.,Whalen P.,0
5191,Whalen P.,Wendemuth F.R.,0
5192,Waterhouse E.C.,Klinka A.J.,0
5193,Whalen P.,Nelson C.,1
5194,Nelson C.,Whalen P.,0
5195,Whalen P.,Kaiser G.A.,0
5196,Banks N.W.,Whalen P.,0
5197,Wendemuth F.R.,Garwood G.,0
5198,Wendemuth F.R.,Waterhouse E.C.,0
5199,Waterhouse E.C.,Wendemuth F.R.,2
5200,Wood R.B.,Garwood G.,0
5201,Logan A.N.,Waterhouse E.C.,0
5202,Banks N.W.,Nelson C.,0
5203,Nelson C.,Banks N.W.,2
5204,Nichols F.D.,Horr J.F.,2
5205,Horr J.F.,Nichols F.D.,1
5206,Hartshorn H.C.,Harrigan T.J.,1
5207,Goldsmith I.J.,Hartshorn H.C.,1
5208,Crawford A.,Ginsberg L.C.,0
5209,Harrigan T.J.,Crawford A.,1
5210,Scott J.H.,Horr J.F.,0
5211,Harrigan T.J.,Goldsmith I.J.,0
5212,Turner W.S.,Hartshorn H.C.,0
5213,Nichols F.D.,Ives F.A.,0
5214,Turner W.S.,Goldsmith I.J.,2
5215,Ginsberg L.C.,Nichols F.D.,0
5216,Ives F.A.,Horr J.F.,2
5217,Hartshorn H.C.,Ginsberg L.C.,0
5218,Crawford A.,Horr J.F.,0
5219,Horr J.F.,Crawford A.,2
5220,Horr J.F.,Ginsberg L.C.,0
5221,Goldsmith I.J.,Horr J.F.,2
5222,Horr J.F.,Turner W.S.,0
5223,Hill W.G.,Winnemore L.R.,0
5224,Winnemore L.R.,Hill W.G.,0
5225,Lieberman H.,Newcomb H.O.,0
5226,Newcomb H.O.,Lieberman H.,2
5227,Jordan A.,Worner J.,1
5228,Worner J.,Jordan A.,2
5229,Stoddard C.H.,Barnes A.H.,1
5230,Stoddard C.H.,Lieberman H.,2
5231,Lieberman H.,Stoddard C.H.,0
5232,Barnes A.H.,Jordan A.,2
5233,Jordan A.,Barnes A.H.,1
5234,Jordan A.,Hill W.G.,0
5235,Hill W.G.,Jordan A.,2
5236,Perry P.B.,Jordan A.,0
5237,Winnemore L.R.,Lieberman H.,1
5238,Lieberman H.,Barnes A.H.,1
5239,Logan S.D.,Jordan A.,2
5240,Newcomb H.O.,Winnemore L.R.,1
5241,Hill W.G.,Lieberman H.,0
5242,Lieberman H.,Hill W.G.,1
5243,D'Orio J.,Henderson H.,2
5244,Henderson H.,D'Orio J.,1
5245,Lieberman H.,Klinka A.J.,2
5246,Klinka A.J.,Lieberman H.,2
5247,Lieberman H.,Klinka A.J.,1
5248,Klinka A.J.,Lieberman H.,2
5249,Wendemuth F.R.,Reynolds H.B.,2
5250,Reynolds H.B.,Wendemuth F.R.,0
5251,Wendemuth F.R.,Reynolds H.B.,2
5252,Bell S.S.,Horr J.F.,2
5253,Horr J.F.,Bell S.S.,0
5254,Bell S.S.,Horr J.F.,0
5255,Horr J.F.,Bell S.S.,1
5256,Winnemore L.R.,Whalen P.,0
5257,Whalen P.,Winnemore L.R.,0
5258,Winnemore L.R.,Whalen P.,2
5259,Whalen P.,Winnemore L.R.,0
5260,Goldsmith I.J.,Jordan A.,0
5261,Jordan A.,Goldsmith I.J.,1
5262,Goldsmith I.J.,Jordan A.,2
5263,Harrigan T.J.,Banks N.W.,2
5264,Banks N.W.,Harrigan T.J.,0
5265,Harrigan T.J.,Banks N.W.,2
5266,Ginsberg L.C.,Newcomb H.O.,0
5267,Newcomb H.O.,Ginsberg L.C.,0
5268,Ginsberg L.C.,Newcomb H.O.,0
5269,Newcomb H.O.,Ginsberg L.C.,0
5270,Ginsberg L.C.,Newcomb H.O.,0
5271,Newcomb H.O.,Ginsberg L.C.,0
5272,Ginsberg L.C.,Newcomb H.O.,1
5273,Newcomb H.O.,Ginsberg L.C.,2
5274,Horr J.F.,Henderson H.,1
5275,Henderson H.,Horr J.F.,0
5276,Horr J.F.,Henderson H.,2
5277,Henderson H.,Horr J.F.,0
5278,Horr J.F.,Henderson H.,0
5279,Henderson H.,Horr J.F.,0
5280,Horr J.F.,Henderson H.,2
5281,Henderson H.,Horr J.F.,1
5282,Whalen P.,Reynolds H.B.,1
5283,Reynolds H.B.,Whalen P.,0
5284,Whalen P.,Reynolds H.B.,2
5285,Reynolds H.B.,Whalen P.,0
5286,Whalen P.,Reynolds H.B.,2
5287,Reynolds H.B.,Whalen P.,0
5288,Ginsberg L.C.,Jordan A.,0
5289,Jordan A.,Ginsberg L.C.,2
5290,Ginsberg L.C.,Jordan A.,0
5291,Jordan A.,Ginsberg L.C.,1
5292,Ginsberg L.C.,Jordan A.,0
5293,Jordan A.,Ginsberg L.C.,0
5294,Ginsberg L.C.,Jordan A.,2
5295,Jordan A.,Ginsberg L.C.,0
5296,Lieberman H.,Banks N.W.,0
5297,Banks N.W.,Lieberman H.,2
5298,Lieberman H.,Banks N.W.,1
5299,Reynolds H.B.,Lieberman H.,0
5300,Lieberman H.,Reynolds H.B.,2
5301,Reynolds H.B.,Lieberman H.,1
5302,Lieberman H.,Reynolds H.B.,0
5303,Reynolds H.B.,Lieberman H.,0
5304,Jordan A.,Henderson H.,0
5305,Henderson H.,Jordan A.,0
5306,Jordan A.,Henderson H.,0
5307,Henderson H.,Jordan A.,0
5308,Jordan A.,Henderson H.,0
5309,Jordan A.,Henderson H.,0
5310,Henderson H.,Jordan A.,1
5311,Henderson H.,Reynolds H.B.,0
5312,Reynolds H.B.,Henderson H.,0
5313,Henderson H.,Reynolds H.B.,0
5314,Reynolds H.B.,Henderson H.,0
5315,Henderson H.,Reynolds H.B.,1
5316,Reynolds H.B.,Henderson H.,0
5317,Jordan A.,Lieberman H.,0
5318,Lieberman H.,Jordan A.,0
5319,Jordan A.,Lieberman H.,0
5320,Lieberman H.,Jordan A.,0
5321,Jordan A.,Lieberman H.,0
5322,Lieberman H.,Jordan A.,0
5323,Jordan A.,Lieberman H.,0
5324,Lieberman H.,Jordan A.,2
5325,Hill W.G.,Scott J.H.,0
5326,Scott J.H.,Hill W.G.,2
5327,Hill W.G.,Scott J.H.,0
5328,Scott J.H.,Hill W.G.,2
5329,Waterhouse E.C.,Farmer F.G.,0
5330,Farmer F.G.,Waterhouse E.C.,0
5331,Waterhouse E.C.,Farmer F.G.,1
5332,Farmer F.G.,Waterhouse E.C.,1
5333,Waterhouse E.C.,Farmer F.G.,1
5334,Farmer F.G.,Waterhouse E.C.,2
5335,Jennings G.S.,Harshorn H.C.,0
5336,Hartshorn H.C.,Jennings G.S.,0
5337,Jennings G.S.,Hartshorn H.C.,2
5338,Hartshorn H.C.,Jennings G.S.,2
5339,Jennings G.S.,Hartshorn H.C.,1
5340,Hartshorn H.C.,Jennings G.S.,1
5341,Jennings G.S.,Hartshorn H.C.,0
5342,Hartshorn H.C.,Jennings G.S.,0
5343,Jennings G.S.,Hartshorn H.C.,2
5344,Hartshorn H.C.,Jennings G.S.,0
5345,Barnes A.H.,Valentine A.W.,0
5346,Valentine A.W.,Barnes A.H.,0
5347,Barnes A.H.,Valentine A.W.,1
5348,Valentine A.W.,Barnes A.H.,0
5349,Logan A.N.,Perry P.B.,2
5350,Perry P.B.,Logan A.N.,0
5351,Logan A.N.,Perry P.B.,0
5352,Perry P.B.,Logan A.N.,2
5353,Logan A.N.,Perry P.B.,0
5354,Perry P.B.,Logan A.N.,2
5355,Stoddard C.H.,Garwood G.,0
5356,Garwood G.,Stoddard C.H.,1
5357,Stoddard C.H.,Garwood G.,1
5358,Garwood G.,Stoddard C.H.,1
5359,Turner W.S.,Crawford A.,2
5360,Crawford A.,Turner W.S.,0
5361,Turner W.S.,Crawford A.,2
5362,Backus B.L.,Nelson C.,2
5363,Nelson C.,Backus B.L.,0
5364,Backus B.L.,Nelson C.,2
5365,Winnemore L.R.,Hill W.G.,0
5366,Hill W.G.,Winnemore L.R.,0
5367,Winnemore L.R.,Hill W.G.,0
5368,Hill W.G.,Winnemore L.R.,0
5369,Winnemore L.R.,Hill W.G.,1
5370,Hill W.G.,Winnemore L.R.,1
5371,Winnemore L.R.,Hill W.G.,1
5372,Hill W.G.,Winnemore L.R.,1
5373,Hill W.G.,Winnemore L.R.,0
5374,Winnemore L.R.,Hill W.G.,0
5375,Barnes A.H.,Bell S.S.,0
5376,Bell S.S.,Barnes A.H.,0
5377,Barnes A.H.,Bell S.S.,2
5378,Bell S.S.,Barnes A.H.,0
5379,Logan A.N.,Waterhouse E.C.,1
5380,Waterhouse E.C.,Logan A.N.,0
5381,Logan A.N.,Waterhouse E.C.,0
5382,Waterhouse E.C.,Logan A.N.,1
5383,Logan A.N.,Waterhouse E.C.,2
5384,Waterhouse E.C.,Logan A.N.,2
5385,Logan A.N.,Waterhouse E.C.,0
