ID,Black,White,Result
179,McMillan J.,Tonar J.,0
180,Tonar J.,McMillan J.,0
181,McMillan J.,Tonar J.,0
182,Tonar J.,McMillan J.,2
183,McMillan J.,Tonar J.,0
184,Tonar J.,McMillan J.,0
185,McMillan J.,Tonar J.,0
186,Tonar J.,McMillan J.,0
187,Wyllie J.,Dewar A.,2
188,Wyllie J.,Martins R.,0
189,Martins R.,Wyllie J.,2
190,Wyllie J.,Martins R.,0
191,Martins R.,Wyllie J.,0
192,Wyllie J.,Martins R.,2
193,Martins R.,Wyllie J.,0
194,Wyllie J.,Martins R.,0
195,Martins R.,Wyllie J.,0
196,Wyllie J.,Martins R.,0
197,Martins R.,Wyllie J.,0
198,Wyllie J.,Martins R.,0
199,Martins R.,Wyllie J.,2
200,Wyllie J.,Martins R.,0
201,Martins R.,Wyllie J.,0
202,Wyllie J.,Martins R.,0
203,Martins R.,Wyllie J.,0
204,Wyllie J.,Martins R.,0
205,Martins R.,Wyllie J.,0
206,Wyllie J.,Martins R.,0
207,Martins R.,Wyllie J.,2
208,Wyllie J.,Martins R.,2
209,Martins R.,Wyllie J.,0
210,Wyllie J.,Martins R.,1
211,Martins R.,Wyllie J.,0
212,Wyllie J.,Martins R.,0
213,Martins R.,Wyllie J.,0
214,Wyllie J.,Martins R.,0
215,Martins R.,Wyllie J.,0
216,Wyllie J.,Martins R.,1
217,Martins R.,Wyllie J.,1
218,Wyllie J.,Martins R.,1
219,Martins R.,Wyllie J.,0
220,Wyllie J.,Martins R.,0
221,Martins R.,Wyllie J.,0
222,Wyllie J.,Martins R.,0
223,Martins R.,Wyllie J.,0
224,Wyllie J.,Martins R.,0
225,Martins R.,Wyllie J.,0
226,Wyllie J.,Martins R.,0
227,Martins R.,Wyllie J.,0
228,Wyllie J.,Martins R.,1
229,Martins R.,Wyllie J.,0
230,Wyllie J.,Martins R.,1
231,Martins R.,Wyllie J.,0
232,Wyllie J.,Martins R.,0
233,Martins R.,Wyllie J.,0
234,Wyllie J.,Martins R.,0
235,Martins R.,Wyllie J.,0
236,Wyllie J.,Martins R.,0
237,Martins R.,Wyllie J.,0
238,Wyllie J.,Martins R.,0
239,Martins R.,Wyllie J.,0
240,Wyllie J.,Martins R.,1
241,Martins R.,Wyllie J.,0
242,Wyllie J.,Martins R.,0
243,Martins R.,Wyllie J.,0
244,Wyllie J.,Martins R.,2
245,Martins R.,Wyllie J.,0
246,Wyllie J.,Martins R.,2
247,Martins R.,Wyllie J.,0
248,Wyllie J.,Martins R.,1
249,Martins R.,Wyllie J.,0
250,Moir J.,Bryden W.,2
251,Martins R.,Wyllie J.,0
252,Wyllie J.,Martins R.,0
253,Martins R.,Wyllie J.,0
254,Wyllie J.,Martins R.,2
255,Martins R.,Wyllie J.,1
256,Wyllie J.,Martins R.,0
257,Martins R.,Wyllie J.,0
258,Wyllie J.,Martins R.,0
259,Martins R.,Wyllie J.,0
260,Wyllie J.,Martins R.,0
261,Martins R.,Wyllie J.,0
262,Wyllie J.,Martins R.,1
263,Martins R.,Wyllie J.,0
264,Wyllie J.,Martins R.,1
265,Wyllie J.,Martins R.,0
266,Martins R.,Wyllie J.,0
267,Martins R.,Wyllie J.,0
268,Wyllie J.,Martins R.,0
269,Martins R.,Wyllie J.,0
270,Wyllie J.,Martins R.,0
271,Martins R.,Wyllie J.,0
272,Wyllie J.,Martins R.,0
273,Martins R.,Wyllie J.,1
274,Wyllie J.,Martins R.,0
275,Martins R.,Wyllie J.,0
276,Wyllie J.,Martins R.,0
277,Martins R.,Wyllie J.,0
278,Wyllie J.,Martins R.,0
279,Martins R.,Wyllie J.,0
280,Wyllie J.,Martins R.,1
281,Martins R.,Wyllie J.,0
282,Wyllie J.,Martins R.,0
283,Martins R.,Wyllie J.,0
284,Wyllie J.,Martins R.,0
285,Martins R.,Wyllie J.,0
286,Wyllie J.,Martins R.,0
287,Martins R.,Wyllie J.,0
288,Wyllie J.,Martins R.,0
289,Martins R.,Wyllie J.,1
290,Wyllie J.,Martins R.,0
291,Martins R.,Wyllie J.,0
292,Wyllie J.,Martins R.,0
293,Martins R.,Wyllie J.,1
294,Wyllie J.,Martins R.,0
295,Martins R.,Wyllie J.,0
296,Wyllie J.,Martins R.,0
297,Martins R.,Wyllie J.,0
298,Wyllie J.,Martins R.,0
299,Martins R.,Wyllie J.,2
300,Wyllie J.,Martins R.,0
301,Martins R.,Wyllie J.,1
302,Wyllie J.,Martins R.,0
303,Martins R.,Wyllie J.,2
304,Wyllie J.,Martins R.,0
305,Martins R.,Wyllie J.,1
306,Wyllie J.,Martins R.,0
307,Martins R.,Wyllie J.,2
308,Wyllie J.,Martins R.,1
309,Martins R.,Wyllie J.,0
310,Wyllie J.,Martins R.,0
311,MacIndoe J.B.,Reid W.,0
312,Reid W.,MacIndoe J.B.,1
313,MacIndoe J.B.,Reid W.,0
314,Reid W.,MacIndoe J.B.,1
